customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age Group
34,Jephthah Bachmann,U,59,1843-12-21,,Legal Assistant,IT,Affluent Customer,N,No,20.0,182,
720,Darrel Canet,Male,67,1931-10-23,93.0,Recruiting Manager,Retail,Affluent Customer,N,No,6.0,94,75+
1092,Katlin Creddon,Female,56,1935-08-22,89.0,VP Quality Control,Retail,Mass Customer,N,No,5.0,90,75+
3410,Merrili Brittin,Female,93,1940-09-22,84.0,,Property,Mass Customer,N,No,16.0,85,75+
658,Donn Bonnell,Male,38,1944-01-24,81.0,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,8.0,81,75+
2413,Abbey Murrow,Male,27,1943-08-11,81.0,Environmental Specialist,Manufacturing,High Net Worth,N,Yes,17.0,82,75+
1,Laraine Medendorp,Female,93,1953-10-12,71.0,Executive Secretary,Health,Mass Customer,N,Yes,11.0,72,65-74
3,Arlin Dearle,Male,61,1954-01-20,71.0,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,71,65-74
11,Uriah Bisatt,Male,99,1954-04-30,70.0,,Property,Mass Customer,N,No,9.0,71,65-74
53,Agnella Gocke,Female,22,1954-04-18,70.0,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,71,65-74
187,Pincas Ather,Male,97,1954-01-28,71.0,Structural Engineer,Unknown,Mass Customer,N,No,11.0,71,65-74
220,Jeniffer Apark,Female,79,1954-05-10,70.0,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,71,65-74
255,Keeley Kruger,Female,2,1954-01-15,71.0,Desktop Support Technician,IT,Mass Customer,N,No,5.0,71,65-74
366,Constance Ucchino,Female,7,1954-01-08,71.0,Librarian,Entertainment,High Net Worth,N,No,19.0,71,65-74
425,Michaeline Bordman,Female,60,1953-11-19,71.0,Sales Representative,Retail,Mass Customer,N,Yes,20.0,72,65-74
